Variable   Value
var_Tau3MuIsolation      1.794e-01
var_VisMass              1.431e-01
var_MinDrToIsoTrack      1.174e-01
var_ThreeMuVertexChi2KF  1.007e-01
var_FLSignificance       9.246e-02
var_TripletPT            8.469e-02
var_mu2_pT               8.250e-02
var_SVPVTauDirAngle      7.268e-02
var_Tau_pT               6.489e-02
var_Phi_To_Opposite_Side 6.214e-02
