Variable                    Value
var_Tau3MuIsolation         1.374e-01
var_MuonIsolation           1.167e-01
var_DiTauMass_Collinear     1.046e-01
var_3Mu_MinDistToMuTrack_mm 1.018e-01
var_VisMass                 1.002e-01
var_MinDrToIsoTrack         8.681e-02
var_ThreeMuVertexChi2KF     8.209e-02
var_TripletPT               7.626e-02
var_Phi_To_Opposite_Side    7.558e-02
var_DeltaPhi                7.036e-02
var_mu2_pT                  4.821e-02
